Zipcode, Median income, Avg Income, GDP per capita, Percentage earning above $200k
10462,"$49,962","$61,943","$24,718",1.9%
11210,"$62,202","$84,919","$28,212",6.7%
11219,"$37,665","$56,434","$15,725",2.7%
11226,"$48,495","$66,439","$24,798",3.5%
11218,"$64,152","$87,341","$29,112",7.4%
10459,"$25,762","$39,033","$13,893",0.7%
11104,"$63,122","$80,386","$37,114",6.0%
11364,"$71,030","$94,268","$36,515",8.3%
11385,"$64,481","$78,239","$27,568",4.2%
10474,"$25,896","$39,015","$12,362",1.2%
10028,"$119,203","$214,695","$115,071",29.5%
10302,"$60,968","$75,367","$25,824",5.9%
10174,$0,$0,$0,0.0%
10465,"$74,079","$89,748","$33,839",8.1%
11370,"$59,901","$84,987","$22,720",4.5%
11221,"$47,170","$66,368","$24,707",3.9%
11363,"$97,784","$128,817","$46,719",15.4%
10009,"$60,521","$90,253","$47,782",11.4%
10012,"$104,561","$160,244","$85,491",22.7%
11001,"$104,890","$125,651","$41,986",16.4%
11206,"$34,122","$57,980","$21,148",3.8%
10014,"$127,973","$204,690","$122,098",32.2%
11418,"$67,003","$82,300","$24,653",5.3%
10308,"$91,953","$104,614","$37,435",9.3%
10036,"$93,707","$126,679","$77,462",19.8%
10035,"$27,932","$49,300","$21,618",2.7%
11357,"$81,053","$100,134","$37,105",8.2%
10021,"$123,842","$225,235","$125,769",34.8%
11411,"$87,231","$101,581","$33,473",8.4%
11433,"$48,795","$66,108","$20,816",2.8%
11212,"$25,677","$42,285","$18,150",1.2%
10019,"$99,063","$155,567","$94,797",22.7%
10173,$0,$0,$0,0.0%
10023,"$123,951","$209,783","$114,641",30.9%
10011,"$123,208","$197,050","$114,218",29.6%
10475,"$48,734","$61,030","$27,175",1.6%
10115,$0,$0,$0,0.0%
11436,"$69,259","$84,711","$25,222",3.2%
11415,"$65,981","$85,176","$37,544",6.8%
11231,"$93,575","$145,130","$60,619",22.0%
10154,$0,$0,$0,0.0%
10470,"$56,658","$71,731","$30,792",4.0%
10282,"$250,001","$295,980","$127,960",61.6%
11225,"$51,926","$74,178","$30,351",4.7%
11204,"$47,341","$69,520","$21,587",4.7%
10027,"$45,536","$77,728","$30,256",7.9%
11358,"$65,932","$88,217","$32,137",8.4%
10044,"$92,623","$127,178","$53,174",19.1%
10304,"$54,567","$89,869","$31,609",8.8%
11109,"$137,452","$167,536","$91,942",32.3%
10039,"$34,197","$53,689","$23,681",2.1%
10309,"$100,343","$118,300","$40,598",12.2%
11230,"$46,013","$73,991","$25,810",6.7%
11693,"$57,443","$71,165","$28,735",3.4%
11414,"$72,632","$96,563","$36,334",7.6%
10003,"$104,441","$182,531","$91,141",26.8%
11692,"$45,816","$62,707","$21,492",3.0%
10172,$0,$0,$0,0.0%
11223,"$46,310","$71,341","$24,860",5.1%
10278,$0,$0,$0,0.0%
10280,"$161,419","$220,261","$108,281",37.7%
11236,"$63,700","$78,215","$26,886",4.4%
10463,"$58,881","$82,103","$33,630",6.3%
11217,"$99,085","$147,595","$63,967",22.3%
10310,"$69,838","$87,497","$30,838",7.2%
11102,"$60,436","$82,508","$35,275",6.5%
11238,"$79,013","$107,890","$49,004",12.2%
11105,"$68,050","$88,855","$38,318",6.8%
